序号,分类,越南语,中文,级别,词性
1,十二、常用口语短句（高频）,chị ấy tên là,她名字是,A1,
2,十二、常用口语短句（高频）,cô ấy tên là,她名字是,A1,
3,十一、核心动词、形容词、连词与高频成语,dạ,嗯 / 是的,A1,c.
4,三、人称代词、家庭亲属与职场社交,nhà em,我家,A1,
5,三、人称代词、家庭亲属与职场社交,nhà anh,你家,A1,
6,十一、核心动词、形容词、连词与高频成语,ở ngay cạnh,就在旁边,A1,
7,三、人称代词、家庭亲属与职场社交,sinh,出生,A1,đg.
8,二、时间、日期、月份与周期,năm sau,明年,A1,
9,二、时间、日期、月份与周期,trời đẹp,天气很美,A1,
10,六、购物百货、服装尺码、颜色与售后,khoảng,大约,A1,d.
11,三、人称代词、家庭亲属与职场社交,em dâu,弟媳,A1,
12,十一、核心动词、形容词、连词与高频成语,hãy,请,A1,p.
13,十一、核心动词、形容词、连词与高频成语,cho biết,告知 / 说说,A1,đg.
14,五、交通出行、海关通关、地理与东南亚国家,phát ngôn,发言,A1,d.
15,五、交通出行、海关通关、地理与东南亚国家,thanh sắc,锐声 (越南语的声调之一),A1,d.
16,七、酒店住宿、房屋租赁与日常家务,thanh điệu,声调,A1,d.
17,十一、核心动词、形容词、连词与高频成语,rất,很,A1,p.
18,九、金融理财、股市交易与外汇结算,dùng,用,A1,đg.
19,五、交通出行、海关通关、地理与东南亚国家,tiếng Việt,越南语,A1,
20,十一、核心动词、形容词、连词与高频成语,ở đâu cũng,在哪都 (在哪 … 都),A1,
21,八、商务经贸、合同条款与物流生产,chắc,有可能,A1,t.
22,十一、核心动词、形容词、连词与高频成语,này,这,A1,đ.
23,二、时间、日期、月份与周期,nem,春卷 (越南春卷),A1,d.
24,四、餐饮美食、水果特产与生活调料,trứng,蛋,A1,d.
25,十一、核心动词、形容词、连词与高频成语,và,和,A1,k.
26,十一、核心动词、形容词、连词与高频成语,thích ... hơn,更喜欢 …,A1,
27,七、酒店住宿、房屋租赁与日常家务,chưa thể,还不能,A1,
28,十一、核心动词、形容词、连词与高频成语,thì phải,好像/ … 似的,A1,
29,十一、核心动词、形容词、连词与高频成语,điều,事/内容,A2,d.
30,三、人称代词、家庭亲属与职场社交,người đàn ông,男人,A2,
31,三、人称代词、家庭亲属与职场社交,người phụ nữ,女人,A2,
32,十一、核心动词、形容词、连词与高频成语,điều gì,什么,A2,
33,十一、核心动词、形容词、连词与高频成语,tìm,找,A2,đ.
34,五、交通出行、海关通关、地理与东南亚国家,tuyến,路线,A2,d.
35,五、交通出行、海关通关、地理与东南亚国家,hồ Hoàn Kiếm,还剑湖,A2,
36,六、购物百货、服装尺码、颜色与售后,đại học Bách Khoa,理工大学,A2,
37,五、交通出行、海关通关、地理与东南亚国家,ga Hà Nội,河内站,A2,
38,四、餐饮美食、水果特产与生活调料,tình huống,况味/境地/处境,A2,d.
39,三、人称代词、家庭亲属与职场社交,đây,这儿,A2,đ.
40,三、人称代词、家庭亲属与职场社交,thầy,(男) 老师,A2,d.
41,三、人称代词、家庭亲属与职场社交,không sao,没事儿,A2,
42,一、数字、量词与度量衡,mẹ,我 (第一人称),A2,d.
43,六、购物百货、服装尺码、颜色与售后,cất,收,A2,đg.
44,七、酒店住宿、房屋租赁与日常家务,đơn,药单,A2,d.
45,十一、核心动词、形容词、连词与高频成语,nên,应该,A2,đg.
46,十二、常用口语短句（高频）,nhé,吧,A2,p.
47,十、医疗健康、人体疾病与紧急求助,khám,看 (病),A2,đg.
48,七、酒店住宿、房屋租赁与日常家务,nằm viện,住院,A2,
49,五、交通出行、海关通关、地理与东南亚国家,đi khám,去看病,A2,health
50,十二、常用口语短句（高频）,thế nào,怎么样,A2,đ.
51,十一、核心动词、形容词、连词与高频成语,dạo này,最近,A2,
52,十一、核心动词、形容词、连词与高频成语,nội dung,内容,A2,d.
53,十一、核心动词、形容词、连词与高频成语,chính,主要,A2,t.
54,十一、核心动词、形容词、连词与高频成语,phong tục,风俗,A2,d.
55,四、餐饮美食、水果特产与生活调料,ẩm thực,饮食,A2,d.
56,八、商务经贸、合同条款与物流生产,bài ng,听力文章,A2,
57,五、交通出行、海关通关、地理与东南亚国家,nói về,说到/谈到,A2,
58,十一、核心动词、形容词、连词与高频成语,lời mời,邀请,A2,
59,四、餐饮美食、水果特产与生活调料,bữ,顿（一顿饭）,A2,
60,三、人称代词、家庭亲属与职场社交,người Việt,越南人,A2,
61,十一、核心动词、形容词、连词与高频成语,lời chúc,祝福,A2,
62,四、餐饮美食、水果特产与生活调料,cơm,饭,A2,d.
63,十一、核心动词、形容词、连词与高频成语,xong,完,A2,p.
64,五、交通出行、海关通关、地理与东南亚国家,thường,一般 / 通常,A2,p.
65,八、商务经贸、合同条款与物流生产,xin phép,请（允许）,A2,đg.
66,六、购物百货、服装尺码、颜色与售后,mọi người,大家,A2,
67,十一、核心动词、形容词、连词与高频成语,nói gì,说什么,A2,
68,十一、核心动词、形容词、连词与高频成语,không thể,不能,A2,p.
69,一、数字、量词与度量衡,thiếu,少,A2,t.
70,四、餐饮美食、水果特产与生活调料,bánh,饼,A2,d.
71,五、交通出行、海关通关、地理与东南亚国家,chợ quê,乡村市场,A2,
72,二、时间、日期、月份与周期,ngày Tết,春节,A2,
73,十、医疗健康、人体疾病与紧急求助,dưa hành,腌葱头,A2,
74,四、餐饮美食、水果特产与生活调料,rau củ quả,蔬菜水果,A2,
75,五、交通出行、海关通关、地理与东南亚国家,sự hiếu khách,好客,A2,
76,三、人称代词、家庭亲属与职场社交,người đi chợ quê,去乡村市场的人们,A2,
77,七、酒店住宿、房屋租赁与日常家务,ngoài ... còn ...,除了 … 还,A2,
78,五、交通出行、海关通关、地理与东南亚国家,cảm nhận được,感受到,A2,
79,二、时间、日期、月份与周期,lễ hội mùa xuân,春节,A2,
80,六、购物百货、服装尺码、颜色与售后,văn hóa mua sắm,购物文化,A2,
81,十一、核心动词、形容词、连词与高频成语,đặc trưng,特征,A2,d.
82,七、酒店住宿、房屋租赁与日常家务,khí hậu,气候,A2,d.
83,五、交通出行、海关通关、地理与东南亚国家,Thành phố Hồ Chí Minh,胡志明市,A2,
84,六、购物百货、服装尺码、颜色与售后,ý chính,大意,A2,
85,十一、核心动词、形容词、连词与高频成语,là gì,是什么,A2,
86,二、时间、日期、月份与周期,mùa mưa rainy seas,雨季,A2,
87,五、交通出行、海关通关、地理与东南亚国家,diễn ra,举行,A2,đg.
88,二、时间、日期、月份与周期,tháng,月,A2,d.
89,七、酒店住宿、房屋租赁与日常家务,đồ dùng,器皿,B1,d.
90,四、餐饮美食、水果特产与生活调料,bát đĩa,餐具,B1,d.
91,七、酒店住宿、房屋租赁与日常家务,dao kéo,刀具,B1,d.
92,六、购物百货、服装尺码、颜色与售后,vật dụng,物品 / 物体,B1,d.
93,六、购物百货、服装尺码、颜色与售后,nhỏ,小,B1,t.
94,十一、核心动词、形容词、连词与高频成语,cạnh,边缘,B1,d.
95,十一、核心动词、形容词、连词与高频成语,cong,弯,B1,t.
96,五、交通出行、海关通关、地理与东南亚国家,máy rử,洗碗机,B1,
97,六、购物百货、服装尺码、颜色与售后,đồ nhựa p,塑料制品,B1,
98,十一、核心动词、形容词、连词与高频成语,không chịu được nhiệt,不能受热,B1,
99,十一、核心动词、形容词、连词与高频成语,chú ý,注意,B1,đg.
100,十一、核心动词、形容词、连词与高频成语,miệng,嘴巴,B1,d.
101,十一、核心动词、形容词、连词与高频成语,loại bỏ,清除,B1,đg.
102,六、购物百货、服装尺码、颜色与售后,thức ăn,食物,B1,d.
